age,income,savings,expenses,debt
24,0,20000,10174,376291
23,100,1000000,99700,870680
35,100,20000,34994,880813
40,90,80000,2419,625653
24,18000,1000000,46689,473480
35,200,50000,66383,460808
21,90,1000000,45454,573081
25,0,1000,51329,370121
24,35,100000,15593,759983
35,90,5000,33517,719766
20,35,100000,82151,425110
25,30,20000,95018,599694
20,0,80000,20887,295805
35,0,100000,94096,267469
21,100,50000,81620,709939
33,90,50000,61018,10054
70,0,1000,67809,112406
60,0,80000,82211,351825
33,200,80000,58264,461185
20,200,80000,89302,614432
35,0,1000,95359,184795
33,0,50000,46112,6573
60,200,100000,26438,559735
23,0,5000,98925,662133
24,0,1000000,10447,882563
33,0,50000,77666,871410
30,0,100000,99185,507869
22,200,5000,40991,399387
30,0,80000,38842,243153
21,0,80000,79618,641674
24,18000,50000,97329,194278
20,10000,50000,6543,479574
33,100,50000,31661,532162
20,0,100000,30668,529993
20,0,50000,66147,99328
25,10000,1000,56707,459502
25,0,50000,12425,590206
70,30,100000,98798,576874
20,20000,1000,27881,356521
20,0,80000,2142,232285
60,20000,50000,24846,217812
40,75,100000,53121,266374
55,100,20000,33569,686065
40,90,1000,9067,354959
33,0,5000,89013,208797
30,35,80000,72604,763120
70,20000,80000,14773,316362
33,0,1000,6507,390524
25,0,1000,66920,848117
35,0,100000,88794,607034
23,35,1000,15555,520630
21,0,100000,47547,632263
24,200,50000,59774,765221
33,18000,50000,67000,847898
23,100,80000,82037,703787
70,90,20000,72041,921023
60,0,80000,76891,817917
30,200,5000,5445,206215
23,100,5000,61671,897298
33,0,80000,71608,49505
30,0,100000,2743,734357
44,0,80000,32768,934530
25,100,1000,64006,373834
20,90,80000,66520,860183
22,0,80000,13803,726608
22,0,1000000,57966,130124
23,0,80000,43790,905105
20,75,50000,99045,553486
70,75,5000,80622,146290
44,100,1000000,88338,364938
24,0,80000,91443,628089
20,10000,50000,48874,746418
55,0,80000,52448,607935
22,18000,20000,46522,548895
23,30,5000,21006,174879
33,20000,20000,35560,832180
40,30,100000,96708,556299
70,18000,5000,40868,61239
33,90,5000,51670,47841
44,90,20000,85477,765927
70,0,80000,37061,315817
70,20000,50000,85105,904160
23,20000,80000,45612,189356
44,35,1000,60336,383211
44,10000,1000000,93072,999689
20,20000,1000000,60686,73254
25,10000,20000,76400,906139
55,20000,1000000,9923,416651
24,20000,80000,38517,473364
40,90,80000,59628,135996
55,0,1000000,65646,885320
55,90,50000,49910,659552
20,0,100000,3700,796247
20,0,80000,76956,167927
23,0,80000,96536,256319
30,0,20000,49189,707668
60,0,80000,62539,241302
44,0,100000,78216,620080
22,18000,100000,1916,542900
23,20000,1000,25620,520106
21,0,100000,39474,822652
44,0,5000,60206,945231
60,20000,5000,68723,860940
55,10000,5000,47189,368286
23,0,1000000,64953,357760
30,75,5000,59533,549207
35,30,50000,88482,202191
21,75,5000,26097,475536
24,0,5000,88443,238720
23,18000,1000000,72190,699782
44,0,80000,30446,196854
44,0,50000,38608,70635
60,0,1000,80014,162561
24,0,1000,36713,123590
35,90,100000,51010,798096
20,20000,50000,1008,605758
70,200,1000,29803,324213
25,90,20000,19814,493251
20,200,5000,68177,951173
35,0,1000,63317,247078
30,30,20000,82536,420883
21,100,1000,62771,398637
60,75,5000,27410,790796
55,90,1000,26296,118151
23,30,1000,22832,419505
60,0,1000000,81802,326051
33,100,1000,78261,59850
33,0,100000,63605,100550
60,0,50000,84652,599498
24,10000,20000,1840,31435
25,0,1000000,16819,686928
23,0,5000,16035,750193
40,0,5000,42010,216554
22,200,1000,63492,106342
33,18000,1000,58650,968666
25,0,80000,67400,514664
23,200,100000,12080,117083
20,90,80000,5349,186639
30,0,20000,50589,328242
22,0,20000,47027,126995
22,0,1000,53098,356977
44,0,100000,61502,138493
20,75,5000,67121,897354
22,0,1000000,10889,401598
60,0,50000,42883,460609
60,18000,1000000,49340,83582
30,0,100000,54676,900812
20,0,1000,86183,151968
22,0,1000,98680,617009
33,20000,1000000,17115,183425
22,0,5000,33643,75716
30,75,100000,11757,602458
20,20000,1000000,26972,89714
33,35,80000,50507,316177
23,0,80000,76769,165723
33,0,20000,25553,47594
70,20000,1000000,37401,132591
23,35,80000,6479,838328
55,0,20000,8842,263712
23,200,1000,23454,764931
22,0,80000,42702,288413
35,90,20000,52545,21474
24,0,100000,30608,985125
20,18000,1000000,79664,182663
60,35,1000,22450,147597
44,90,20000,8811,738177
70,0,1000,64112,190090
20,200,80000,4188,886424
35,18000,1000,29179,202372
24,0,50000,65388,293977
55,0,1000,69422,332935
40,18000,80000,25233,986294
23,35,20000,49121,815203
40,18000,20000,66274,47143
21,0,100000,34655,983563
70,18000,80000,48056,805250
60,20000,50000,98999,62477
33,100,5000,40962,845708
60,0,100000,91681,170523
24,0,5000,74214,531304
70,0,50000,74163,880887
20,0,50000,72524,783710
25,10000,5000,94991,916337
33,75,100000,74334,283214
40,18000,50000,66836,425411
22,0,100000,61964,692642
33,35,80000,43400,3652
25,75,1000000,12077,332507
40,18000,1000000,88894,640206
70,0,5000,10848,766562
